Animal ID,Animal Name,Animal Type,Primary Color,Secondary Color,Sex,DOB,Age,Intake Date,Intake Condition,Intake Type,Intake Subtype,Reason for Intake,Outcome Date,Crossing,Jurisdiction,Outcome Type,Outcome Subtype,intake_is_dead,outcome_is_dead,was_outcome_alive
A295628,*SASSY,DOG,TAN,,Spayed,2009-10-20,13.0,2020-08-16,NORMAL,CONFISCATE,VICIOUS,,2020-09-20,"300 GRANADA AVE, LONG BEACH, CA 90814",LONG BEACH,RETURN TO OWNER,WALKIN,Alive on Intake,FALSE,1
A306874,GUNNER,DOG,TRICOLOR,,Neutered,2015-05-16,8.0,2019-05-15,NORMAL,STRAY,OTC,,2019-05-16,"TERRAINE AVE / LOS COYOTES DIAGONAL, LONG BEACH, CA 90808",LONG BEACH,RETURN TO OWNER,WALKIN,Alive on Intake,FALSE,1
A322663,FLUFFY,DOG,WHITE,,Spayed,2007-03-31,16.0,2018-02-04,NORMAL,STRAY,OTC,,2018-02-07,"2200 BLK BELMONT AVE, LONG BEACH, CA 90815",LONG BEACH,RETURN TO OWNER,WALKIN,Alive on Intake,FALSE,1
A331151,TARO,DOG,RED,WHITE,Neutered,2008-07-18,15.0,2018-02-08,NORMAL,STRAY,OTC,,2018-02-08,"ARMORDALE AVE / E RITCHIE ST, LONG BEACH, CA 90808",LONG BEACH,RETURN TO OWNER,WALKIN,Alive on Intake,FALSE,1
A336787,EINSTEIN,DOG,BLACK,BROWN,Neutered,2004-12-15,18.0,2017-11-26,NORMAL,STRAY,OTC,,2017-11-29,"11000 SOUTH ST, CERRITOS, CA 90703",CERRITOS,RETURN TO OWNER,WEB,Alive on Intake,FALSE,1
A340834,SHEBA,DOG,TRICOLOR,,Spayed,2007-08-18,16.0,2018-01-19,NORMAL,STRAY,OTC,,2018-01-19,"2800 BLK N BELLFLOWER BLVD, LONG BEACH, CA 90815",LONG BEACH,RETURN TO OWNER,WALKIN,Alive on Intake,FALSE,1
A340834,SHEBA,DOG,TRICOLOR,,Spayed,2007-08-18,16.0,2018-07-09,NORMAL,SAFE KEEP,HOSPITAL,,2018-07-14,"2800 N BELLFLOWER BLVD, LONG BEACH, CA 90815",LONG BEACH,RETURN TO OWNER,WALKIN,Alive on Intake,FALSE,1
A343366,MONTANA,DOG,BROWN,,Neutered,2007-12-30,15.0,2019-12-19,NORMAL,STRAY,OTC,,2019-12-26,"100 BLK W EAGLE ST, LONG BEACH, CA 90806",LONG BEACH,RETURN TO OWNER,WALKIN,Alive on Intake,FALSE,1
A343907,GOOFY,DOG,WHITE,,Neutered,2006-09-23,17.0,2017-08-02,NORMAL,STRAY,OTC,,2017-08-02,"3200 MAINE AVE, LONG BEACH, CA 90806",LONG BEACH,RETURN TO OWNER,WALKIN,Alive on Intake,FALSE,1
A350772,K.C. SOBRIAN,DOG,BLACK,BROWN,Spayed,2008-05-15,15.0,2019-07-03,INJURED  MODERATE,STRAY,FIELD,,2019-07-03,"2600 BLK SANTA FE AVE, LONG BEACH, CA 90810",LONG BEACH,RETURN TO OWNER,WALKIN,Alive on Intake,FALSE,1
A355286,CHAMP,DOG,BLACK,BROWN,Neutered,2008-11-18,14.0,2017-11-13,NORMAL,OWNER SURRENDER,FIELD,,2017-11-18,"4500 BLK LONG BEACH BLVD, LONG BEACH, CA 90805",LONG BEACH,RETURN TO OWNER,WALKIN,Alive on Intake,FALSE,1
A357546,HAILEY,DOG,BLACK,TAN,Spayed,2007-02-23,16.0,2019-09-28,NORMAL,OWNER SURRENDER,OTC,,2019-10-10,"3800 MARBER AVE, LONG BEACH, CA 90808",LONG BEACH,RESCUE,AUSSHPRES,Alive on Intake,FALSE,1
A359101,MANDY KURT,DOG,BROWN,WHITE,Spayed,2003-12-31,19.0,2021-02-28,NORMAL,STRAY,FIELD,,2021-02-28,"3200 BLK PALO VERDE AVE, LONG BEACH, CA 90808",LONG BEACH,RETURN TO OWNER,FRE RID HM,Alive on Intake,FALSE,1
A360599,BRONCO,DOG,BR BRINDLE,,Neutered,2008-04-03,15.0,2020-10-28,ILL MILD,STRAY,OTC,,2020-10-28,"200 BLK GRANADA AVE, LONG BEACH, CA 90803",LONG BEACH,RETURN TO OWNER,WALKIN,Alive on Intake,FALSE,1
A360924,SAMI,DOG,BROWN,WHITE,Neutered,2005-04-11,18.0,2020-09-14,ILL SEVERE,OWNER SURRENDER,FIELD,,2020-09-14,"19300 MOORSHIRE DR, CERRITOS, CA 90703",CERRITOS,EUTHANASIA,ILL SEVERE,Alive on Intake,TRUE,0
A362189,LOU,DOG,GRAY,,Male,2006-02-11,17.0,2018-03-15,NORMAL,STRAY,FIELD,,2018-03-15,"3200 E 11TH ST, LONG BEACH, CA 90804",LONG BEACH,RETURN TO OWNER,FRE RID HM,Alive on Intake,FALSE,1
A362190,LADY,DOG,BR BRINDLE,,Spayed,2006-02-11,17.0,2019-11-17,NORMAL,STRAY,FIELD,,2019-11-21,"1000 NEWPORT AVE, LONG BEACH, CA 90804",LONG BEACH,RETURN TO OWNER,WALKIN,Alive on Intake,FALSE,1
A362312,BOWSER,DOG,RED,,Male,2017-07-29,6.0,2019-07-29,NORMAL,WELFARE SEIZED,HOSPITAL,,2019-07-29,"5100 E THE TOLEDO, LONG BEACH, CA 90803",LONG BEACH,RETURN TO OWNER,WALKIN,Alive on Intake,FALSE,1
A369565,COCO,DOG,BROWN,,Neutered,2003-05-11,20.0,2018-04-29,NORMAL,OWNER SURRENDER,OTC,POOR HELTH,2018-07-13,"2100 BLK PINE AVE, LONG BEACH, CA 90806",LONG BEACH,ADOPTION,SOCIAL MED,Alive on Intake,FALSE,1
A370173,BUDDY BOB,DOG,BLACK,GRAY,Neutered,2004-11-08,18.0,2019-05-28,FRACTIOUS,CONFISCATE,VICIOUS,,2019-07-26,"200 BLK E PLATT ST, LONG BEACH, CA 90805",LONG BEACH,EUTHANASIA,AGGRESSIVE,Alive on Intake,TRUE,0
A378941,ABBY,DOG,BR BRINDLE,,Spayed,2006-09-29,16.0,2017-08-09,NORMAL,OWNER SURRENDER,FIELD,OWNER PROB,2017-08-10,"4700 BLK CLAIR DEL AVE, LONG BEACH, CA 90807",LONG BEACH,TRANSFER,SPCALA,Alive on Intake,FALSE,1
A381797,ZERO,DOG,BROWN,WHITE,Neutered,2003-09-01,20.0,2019-05-08,AGED,STRAY,FIELD,,2019-05-09,"18400 BLK JEFFREY AVE, CERRITOS, CA 90703",CERRITOS,RETURN TO OWNER,MICROCHIP,Alive on Intake,FALSE,1
A382389,BAILEY,DOG,BLACK,BROWN,Spayed,1996-11-11,26.0,2017-01-07,NORMAL,STRAY,FIELD,,2017-01-08,"5300 BLK E ELIOT ST, LONG BEACH, CA 90803",LONG BEACH,RETURN TO OWNER,MICROCHIP,Alive on Intake,FALSE,1
A389644,LYLE,DOG,BROWN,WHITE,Neutered,2009-06-03,14.0,2017-06-13,INJURED  SEVERE,STRAY,FIELD,EUTH ILL,2017-06-16,"200 BLK E WARDLOW RD, LONG BEACH, CA 90806",LONG BEACH,EUTHANASIA,INJ SEVERE,Alive on Intake,TRUE,0
A393380,SHADOW,DOG,GRAY,WHITE,Spayed,2008-09-12,15.0,2018-08-31,NORMAL,STRAY,OTC,,2018-09-01,"ARTESIA BLVD / CHERRY AVE, LONG BEACH, CA 90805",LONG BEACH,RETURN TO OWNER,WALKIN,Alive on Intake,FALSE,1
A396686,SNOW FLAKE,DOG,WHITE,,Male,2008-10-24,14.0,2017-08-21,NORMAL,STRAY,FIELD,,2017-11-03,"1000 BLK CHERRY AVE, LONG BEACH, CA 90813",LONG BEACH,EUTHANASIA,BEH MODERA,Alive on Intake,TRUE,0
A397004,TULA,DOG,GOLD,,Spayed,2007-05-30,16.0,2017-03-01,NORMAL,OWNER SURRENDER,OTC,MOVE,2017-03-08,"ATLANTIC AVE / SAN ANTONIO DR, LONG BEACH, CA 90807",LONG BEACH,RESCUE,OTHER RESC,Alive on Intake,FALSE,1
A397157,NACHO,DOG,BROWN,,Neutered,2001-03-12,22.0,2018-10-15,NORMAL,CONFISCATE,POLICE,,2018-10-17,"1300 BLK XIMENO AVE, LONG BEACH, CA 90804",LONG BEACH,RETURN TO OWNER,WALKIN,Alive on Intake,FALSE,1
A398814,TOBY,DOG,BROWN,WHITE,Neutered,2005-12-12,17.0,2017-07-12,NORMAL,OWNER SURRENDER,OTC,AGG ANIMAL,2017-08-12,"2000 DAISY AVE, LONG BEACH, CA 90806",LONG BEACH,RESCUE,OTHER RESC,Alive on Intake,FALSE,1
A400872,*JERSEY,DOG,BROWN,,Spayed,2008-05-07,15.0,2017-05-05,NORMAL,OWNER SURRENDER,FIELD,,2017-05-19,"400 BLK E 56TH ST, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,WALKIN,Alive on Intake,FALSE,1
A402700,BOOTSIE,DOG,BROWN,WHITE,Female,2008-01-01,15.0,2021-12-02,NORMAL,WELFARE SEIZED,OWNER DIED,,2022-01-06,"800 BLK W 31ST ST, LONG BEACH, CA 90806",LONG BEACH,RESCUE,FROST FACE,Alive on Intake,FALSE,1
A407527,OREO,CAT,BLACK,WHITE,Neutered,2003-09-18,20.0,2017-04-17,ILL MILD,STRAY,FIELD,,2017-04-17,"2000 KALLIN AVE, LONG BEACH, CA 90815",LONG BEACH,RETURN TO OWNER,FRE RID HM,Alive on Intake,FALSE,1
A407884,JACK,DOG,BLUE,WHITE,Neutered,2007-06-10,16.0,2017-01-29,NORMAL,STRAY,OTC,,2017-01-29,"3300 BLK CORTESE ST, LOS ALAMITOS, CA 90720",LOS ALAMITOS,RETURN TO OWNER,PHONE,Alive on Intake,FALSE,1
A415111,KYO,DOG,WHITE,,Neutered,2005-04-12,18.0,2019-04-12,BEHAVIOR  SEVERE,OWNER SURRENDER,OTC,,2019-04-20,"5500 LEWIS AVE, LONG BEACH, CA 90805",LONG BEACH,RESCUE,FROST FACE,Alive on Intake,FALSE,1
A415409,BUGZY,DOG,BROWN,WHITE,Neutered,2006-01-03,17.0,2019-01-03,AGED,OWNER SURRENDER,OTC,MOVE,2019-01-30,"1300 BLK RAYMOND AVE, LONG BEACH, CA 90804",LONG BEACH,RESCUE,SOCALRTVR,Alive on Intake,FALSE,1
A415899,WAPO,DOG,BROWN,,Male,2006-10-08,16.0,2019-05-22,NORMAL,STRAY,OTC,,2019-05-22,"N STUDEBAKER RD / E STEARNS ST, LONG BEACH, CA 90815",LONG BEACH,RETURN TO OWNER,WALKIN,Alive on Intake,FALSE,1
A416335,BABY,DOG,BROWN,,Neutered,2006-10-14,16.0,2017-04-07,INJURED  SEVERE,STRAY,FIELD,,2017-04-13,"SOUTH ST / ATLANTIC AVE, LONG BEACH, CA 90805",LONG BEACH,RETURN TO OWNER,MICROCHIP,Alive on Intake,FALSE,1
A419899,PEPPER,DOG,BLK SMOKE,,Female,2008-12-03,14.0,2017-08-27,NORMAL,STRAY,OTC,,2017-09-20,"1000 BLK E SAN ANTONIO DR, LONG BEACH, CA 90807",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A420834,LITTLE ONE,DOG,WHITE,BLACK,Spayed,2009-07-01,14.0,2017-07-06,NORMAL,STRAY,OTC,,2017-07-08,"E 4TH ST / PINE AVE, LONG BEACH, CA 90802",LONG BEACH,RETURN TO OWNER,WALKIN,Alive on Intake,FALSE,1
A424439,SHEEBA,DOG,RED,,Spayed,2005-09-26,17.0,2021-08-07,NORMAL,WELFARE SEIZED,POLICE,,2021-08-08,"400 BLK W 10TH ST, LONG BEACH, CA 90813",LONG BEACH,RETURN TO OWNER,FRE RID HM,Alive on Intake,FALSE,1
A424439,SHEEBA,DOG,RED,,Spayed,2005-09-26,17.0,2022-02-13,NORMAL,STRAY,OTC,,2022-02-13,"2000 E BLK OCEAN BLVD, LONG BEACH, CA 90803",LONG BEACH,RETURN TO OWNER,WALKIN,Alive on Intake,FALSE,1
A424574,ROCKY,DOG,RED,,Male,2014-08-19,9.0,2017-08-19,NORMAL,STRAY,OTC,,2017-08-20,"E 8TH ST / CHERRY AVE, LONG BEACH, CA 90813",LONG BEACH,RETURN TO OWNER,WALKIN,Alive on Intake,FALSE,1
A424949,JANIE,CAT,BLACK,,Spayed,2010-03-27,13.0,2019-11-24,NORMAL,OWNER SURRENDER,OTC,NEW BABY,2020-03-05,"5800 BLK WALNUT AVE, LONG BEACH, CA 90805",DISTRICT9,ADOPTION,WALKIN,Alive on Intake,FALSE,1
A426785,BUDDY,DOG,BLACK,WHITE,Neutered,2010-06-13,13.0,2022-10-07,NORMAL,STRAY,FIELD,,2022-10-07,"13600 166TH ST, CERRITOS, CA 90703",CERRITOS,RETURN TO OWNER,FRE RID HM,Alive on Intake,FALSE,1
A426841,MOLLY,DOG,CHOCOLATE,,Spayed,2010-06-14,13.0,2021-09-11,NORMAL,CONFISCATE,OWNER DIED,,2021-09-19,"2300 TEVIS AVE, LONG BEACH, CA 90815, CA",LONG BEACH,ADOPTION,REFERRAL,Alive on Intake,FALSE,1
A428331,LOUIEE,DOG,WHITE,,Neutered,2008-04-10,15.0,2017-02-20,NORMAL,CONFISCATE,POLICE,,2017-02-24,"5701 E 7TH ST, LONG BEACH, CA 90804",LONG BEACH,RETURN TO OWNER,WEB,Alive on Intake,FALSE,1
A428331,LOUIEE,DOG,WHITE,,Neutered,2008-04-10,15.0,2020-06-12,AGED,STRAY,OTC,,2020-06-12,"1200 BLK LONG BEACH BLVD, LONG BEACH, CA 90813",LONG BEACH,RETURN TO OWNER,MICROCHIP,Alive on Intake,FALSE,1
A428363,LITTLE BIT,DOG,BROWN,WHITE,Spayed,2009-04-25,14.0,2017-05-18,NORMAL,OWNER SURRENDER,OTC,NO HOME,2017-05-19,"1700 BLK OBISPO AVE, LONG BEACH, CA 90804",LONG BEACH,TRANSFER,SPCALA,Alive on Intake,FALSE,1
A431305,MUNNI,DOG,TAN,RED,Spayed,2010-07-27,13.0,2017-12-27,NORMAL,OWNER SURRENDER,OTC,OWNER DIED,2017-12-28,"12000 BLK BEACH ST, CERRITOS, CA 90703",CERRITOS,TRANSFER,SPCALA,Alive on Intake,FALSE,1
A432387,RUI,DOG,BLACK,TAN,Male,2009-04-06,14.0,2019-07-20,NORMAL,STRAY,OTC,,2019-07-20,"13000 ROSE ST, CERRITOS, CA 90703",CERRITOS,RETURN TO OWNER,WALKIN,Alive on Intake,FALSE,1
A434064,CHARCOAL,DOG,BLACK,,Spayed,2009-04-21,14.0,2022-10-25,ILL SEVERE,OWNER SURRENDER,FIELD,,2022-10-25,"11600 BOS ST, CERRITOS, CA 90703",CERRITOS,EUTHANASIA,ILL SEVERE,Alive on Intake,TRUE,0
A435150,BROWNIE,DOG,BROWN,,Spayed,2008-11-13,14.0,2018-03-11,ILL SEVERE,OWNER SURRENDER,FIELD,,2018-03-30,"100 BLK E 69TH ST, LONG BEACH, CA 90805",LONG BEACH,RESCUE,FIXLB,Alive on Intake,FALSE,1
A436767,MACHO,DOG,BROWN,WHITE,Male,2008-05-15,15.0,2017-10-11,NORMAL,STRAY,FIELD,,2017-10-11,"17TH ST / GAVIOTA AVE, LONG BEACH, CA 90813",LONG BEACH,RETURN TO OWNER,,Alive on Intake,FALSE,1
A439159,BAMBI,DOG,BROWN,,Neutered,2006-12-31,16.0,2019-03-08,NORMAL,STRAY,FIELD,,2019-03-09,"400 BLK E 56TH ST, LONG BEACH, CA 90805",LONG BEACH,RETURN TO OWNER,WALKIN,Alive on Intake,FALSE,1
A439193,VIOLET,DOG,BLACK,,Spayed,2010-05-04,13.0,2022-06-22,NORMAL,STRAY,OTC,,2022-06-22,"5200 BLK E LOS COYOTES DIAGONAL, LONG BEACH, CA 90815",LONG BEACH,RETURN TO OWNER,FRE RID HM,Alive on Intake,FALSE,1
A441207,TAMA,DOG,BROWN,,Neutered,2004-01-03,19.0,2019-01-03,FRACTIOUS,OWNER SURRENDER,OTC,AGG PEOPLE,2019-01-30,"1300 BLK RAYMOND AVE, LONG BEACH, CA 90804",LONG BEACH,RESCUE,SOCALRTVR,Alive on Intake,FALSE,1
A441394,MAX,DOG,BLACK,WHITE,Neutered,2009-01-27,14.0,2017-07-24,NORMAL,STRAY,FIELD,,2017-07-24,"18500 STUDEBAKER RD, CERRITOS, CA 90703",CERRITOS,RETURN TO OWNER,FRE RID HM,Alive on Intake,FALSE,1
A441759,DULCE,DOG,WHITE,,Female,2009-09-02,14.0,2018-04-26,NORMAL,STRAY,FIELD,,2018-04-26,"6700 GAVIOTA AVE, LONG BEACH, CA 90805",LONG BEACH,RETURN TO OWNER,WALKIN,Alive on Intake,FALSE,1
A442640,ROXY,DOG,RED,WHITE,Spayed,2007-11-20,15.0,2018-03-15,NORMAL,STRAY,OTC,,2018-03-16,"183RD ST / STUDEBAKER RD, CERRITOS, CA 90703",CERRITOS,RETURN TO OWNER,MICROCHIP,Alive on Intake,FALSE,1
A444808,SHELLY,DOG,WHITE,BROWN,Spayed,2004-08-14,19.0,2021-02-11,NORMAL,STRAY,OTC,,2021-02-11,"400 BLK MAGNOLIA AVE, LONG BEACH, CA 90806",LONG BEACH,RETURN TO OWNER,WALKIN,Alive on Intake,FALSE,1
A445853,PRECIOUS,DOG,WHITE,,Spayed,2005-08-01,18.0,2017-01-28,NORMAL,OWNER SURRENDER,OTC,UNKNOWN,2017-01-28,"3400 CHARLEMAGNE AVE, LONG BEACH, CA 90808",LONG BEACH,RETURN TO OWNER,WALKIN,Alive on Intake,FALSE,1
A445856,RINGO,DOG,BROWN,,Neutered,2009-06-30,14.0,2020-11-18,NORMAL,OWNER SURRENDER,OTC,,2020-11-19,"2000 BLK W COWLES ST, LONG BEACH, CA 90813",LONG BEACH,RESCUE,LIVELOVE,Alive on Intake,FALSE,1
A446251,RAMBO,DOG,BLACK,BROWN,Neutered,2010-07-03,13.0,2017-07-14,NORMAL,OWNER SURRENDER,OTC,,2017-08-19,"6000 BLK BRAYTON AVE, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,SPEC EVT,Alive on Intake,FALSE,1
A448635,DULCE CARAMELO,DOG,GRAY,,Female,2010-09-16,13.0,2023-02-18,ILL MILD,OWNER SURRENDER,OTC,,2023-03-01,"400 BLK W. 10TH ST, LONG BEACH, CA 90813",LONG BEACH,RETURN TO OWNER,WALKIN,Alive on Intake,FALSE,1
A450986,TIPPI,DOG,BLACK,WHITE,Spayed,2010-10-01,12.0,2021-08-08,NORMAL,STRAY,OTC,,2021-08-08,"2000 E BROADWAY, LONG BEACH, CA 90803",LONG BEACH,RETURN TO OWNER,WALKIN,Alive on Intake,FALSE,1
A452380,GINGER,DOG,BROWN,,Spayed,2008-11-09,14.0,2021-07-02,NORMAL,OWNER SURRENDER,OTC,ABANDON,2021-07-16,"2400 BLK MAGNOLIA AVE, LONG BEACH, CA 90806",LONG BEACH,RESCUE,FROST FACE,Alive on Intake,FALSE,1
A455811,DJ,DOG,BLACK,,Neutered,2010-07-12,13.0,2019-06-26,NORMAL,OWNER SURRENDER,OTC,OWNER PROB,2019-07-21,"3100 OREGON AVE, LONG BEACH, CA 90806",LONG BEACH,ADOPTION,WALKIN,Alive on Intake,FALSE,1
A457600,BELLA,CAT,BLACK,,Spayed,2004-06-07,19.0,2019-08-16,NORMAL,OWNER SURRENDER,OTC,,2019-12-28,"3500 BLK SANTA FE AVE, LONG BEACH, CA 90810",DISTRICT7,ADOPTION,WALKIN,Alive on Intake,FALSE,1
A458132,CHAPO,DOG,BLACK,WHITE,Male,2010-04-01,13.0,2019-10-30,NORMAL,QUARANTINE,,,2019-11-09,"N LAKEWOOD BLVD / E WILLOW ST, LONG BEACH, CA 90815",LONG BEACH,RETURN TO OWNER,WALKIN,Alive on Intake,FALSE,1
A459361,BAILEY,DOG,CREAM,,Spayed,2011-05-14,12.0,2018-06-02,NORMAL,STRAY,FIELD,,2018-06-03,"BAILEY WAY / WALNUT AVE, LONG BEACH, CA 90813",LONG BEACH,RETURN TO OWNER,WALKIN,Alive on Intake,FALSE,1
A464991,GAGA,DOG,BROWN,BLACK,Female,2007-04-29,16.0,2019-06-27,NORMAL,STRAY,FIELD,,2019-09-12,"300 BLK E HEATH LN, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,WALKIN,Alive on Intake,FALSE,1
A465513,DODGER,DOG,RED,WHITE,Neutered,2011-05-06,12.0,2017-05-28,NORMAL,STRAY,OTC,,2017-05-28,"3600 BLK DELTA AVE, LONG BEACH, CA 90810",LONG BEACH,RETURN TO OWNER,MICROCHIP,Alive on Intake,FALSE,1
A467094,KING,DOG,WHITE,,Neutered,2009-05-28,14.0,2021-01-03,NORMAL,STRAY,FIELD,,2021-01-06,"2600 BLK CEDAR AVE, LONG BEACH, CA 90806",LONG BEACH,RETURN TO OWNER,WALKIN,Alive on Intake,FALSE,1
A468431,BIT,DOG,BROWN,,Female,2005-06-13,18.0,2018-08-05,AGED,STRAY,FIELD,,2018-08-05,"11300 KELLY LN, LOS ALAMITOS, CA 90720",LOS ALAMITOS,RETURN TO OWNER,MICROCHIP,Alive on Intake,FALSE,1
A469246,CHLOE,DOG,BLACK,TAN,Spayed,2010-08-30,13.0,2020-09-14,INJURED  MODERATE,WELFARE SEIZED,CRUELTY,,2020-09-27,"1700 BLK MAGNOLIA AVE, LONG BEACH, CA 90802",LONG BEACH,RESCUE,FIXLB,Alive on Intake,FALSE,1
A469700,KING,DOG,TAN,,Male,2010-11-04,12.0,2020-11-04,NORMAL,OWNER SURRENDER,OTC,MOVE,2020-11-06,"1900 SAN FRANSICO AVE, LONG BEACH, CA 90806",LONG BEACH,RETURN TO OWNER,WALKIN,Alive on Intake,FALSE,1
A471506,PINKY,DOG,WHITE,,Female,2005-07-17,18.0,2021-03-06,NORMAL,STRAY,OTC,,2021-03-10,"3200 BLK SAN FRANCISCO AVE, LONG BEACH, CA 90806",LONG BEACH,RETURN TO OWNER,WALKIN,Alive on Intake,FALSE,1
A471553,RUF,DOG,TAN,,Spayed,2007-07-17,16.0,2017-03-22,NORMAL,OWNER SURRENDER,OTC,,2017-06-12,"2600 E SOUTH ST, LONG BEACH, CA 90805",LONG BEACH,RESCUE,OTHER RESC,Alive on Intake,FALSE,1
A473472,SULLEY,DOG,BLACK,TAN,Neutered,2012-02-03,11.0,2017-12-08,BEHAVIOR  SEVERE,OWNER SURRENDER,OTC,LANDLORD,2017-12-09,"2700 SAN FRANCISCO AVE, LONG BEACH, CA 90806",LONG BEACH,TRANSFER,SPCALA,Alive on Intake,FALSE,1
A476098,DEXTER,CAT,BLACK,WHITE,Neutered,2015-08-01,8.0,2018-08-01,NORMAL,OWNER SURRENDER,OTC,DOA,2018-09-14,"2200 LOMINA AVE, LONG BEACH, CA 90815",LONG BEACH,EUTHANASIA,BEH MODERA,Alive on Intake,TRUE,0
A477412,ZEALAND,DOG,RED,,Spayed,2011-03-22,12.0,2017-07-06,BEHAVIOR  MODERATE,OWNER SURRENDER,FIELD,,2017-07-16,"800 BLK E CARTAGENA ST, LONG BEACH, CA 90807",LONG BEACH,ADOPTION,SOCIAL MED,Alive on Intake,FALSE,1
A479314,SNOBBEN,DOG,TRICOLOR,,Neutered,2011-08-01,12.0,2018-05-02,NORMAL,SAFE KEEP,,,2018-05-13,"5200 BLK E MEZZANINE WAY, LONG BEACH, CA 90808",LONG BEACH,RETURN TO OWNER,WALKIN,Alive on Intake,FALSE,1
A485239,JACOB,DOG,WHITE,BROWN,Male,2011-01-05,12.0,2017-09-10,NORMAL,OWNER SURRENDER,OTC,OWNER PROB,2017-12-07,"2000 BLK GOLDEN AVE, LONG BEACH, CA 90806",LONG BEACH,EUTHANASIA,ILL MODERA,Alive on Intake,TRUE,0
A486764,CHUMP,DOG,BLACK,,Neutered,2008-03-21,15.0,2018-03-17,NORMAL,STRAY,OTC,,2018-03-21,"E 10TH ST / WALNUT AVE, LONG BEACH, CA 90813",LONG BEACH,RETURN TO OWNER,WALKIN,Alive on Intake,FALSE,1
A488214,MADDIE,DOG,BLACK,WHITE,Spayed,2012-03-01,11.0,2017-02-18,ILL MILD,OWNER SURRENDER,FIELD,,2017-02-19,"100 BLK W PLYMOUTH ST, LONG BEACH, CA 90805",LONG BEACH,RETURN TO OWNER,WALKIN,Alive on Intake,FALSE,1
A488429,JACKSON,DOG,BLACK,TAN,Neutered,2010-08-13,13.0,2017-12-28,NORMAL,OWNER SURRENDER,OTC,OWNER PROB,2017-12-29,"4700 DAISY AVE, LONG BEACH, CA 90805",LONG BEACH,TRANSFER,SPCALA,Alive on Intake,FALSE,1
